Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Jamaica,2013,115th,100.4,Warning,6.3,3.7,4,6.6,5.9,7.2,6.1,5.7,5,5.6,3.4,6.3,2.1,9.3,5.3,7.8,8.8,1.3
Micronesia,2013,116th,99.9,Warning,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9,3.3,8.1,0,7,8.6,0
Ukraine,2013,117th,98.6,Warning,4.4,8,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2,1.5,7.6,5.2,7.6,9.9,0.9
Saudi Arabia,2013,118th,97.9,Warning,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6,2.7,9.8,3.1,7.6,0,2
Seychelles,2013,119th,97.6,Warning,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9,2.4,9.8,9.3,7.7,0,4.4
South Africa,2013,120th,97.3,Warning,5.1,5.6,5.7,5.9,8,4.3,5.3,6.3,4.2,7.8,6.5,2.9,2.5,7.3,3.3,6.3,6.1,4.2
Brunei Darussalam,2013,121st,97.1,Warning,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1,1.9,9.9,4.3,7.9,9.9,0
Botswana,2013,122nd,95.6,Warning,3.5,3.3,4.8,6.1,7.5,5,4.4,6,4.4,8.3,5.8,4.8,2.8,9.5,6.1,6.7,5.8,0.8
Bulgaria,2013,123rd,92.8,Warning,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5,1.5,9.5,6.5,7.9,9.9,2.5
Grenada,2013,124th,92.4,Warning,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7,2.2,9.7,5,7.6,0,3.3
Bahrain,2013,125th,92.3,Warning,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6,2.1,9.9,8.6,7.8,0,1
Brazil,2013,126th,92.2,Warning,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3,1.8,9.7,1.4,7.8,8.5,0.9
Romania,2013,127th,91.4,Warning,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6,1.4,9.2,4.1,7.9,10,1.3
Panama,2013,128th,90.9,Warning,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3,2.6,8,6.9,8.1,8.6,0.9
Montenegro,2013,129th,90.6,Warning,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3,1.7,9.4,6.1,7.9,9.6,1.6
Mongolia,2013,130th,90.5,Warning,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5,2.8,9.8,6.1,7.3,5.3,1.5
Croatia,2013,131st,89.8,Stable,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5,1.5,9.6,4.3,8,9.9,2.4
Trinidad and Tobago,2013,132nd,89.3,Stable,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2,1.8,9.2,5.3,7.4,0,2.9
Malta,2013,133rd,88.6,Stable,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8,1.4,9.9,15.1,8.4,10,1.4
United Arab Emirates,2013,134th,86.9,Stable,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5,1.8,9.8,8.5,7.8,10,1.8
Hungary,2013,135th,85.6,Stable,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8,1.4,9.9,7.9,7.9,10,0.9
